GeneId	Chr	Start	End	Intron_Start	Intron_End	Log2TPMRatio	TPM_1	TPM_2	minusLog10PValue	PValue	RValue_1	RValue_2
PLCXD1	chrY	142991	170022	143062	148060	1.48733	0.0190024	0.00677763	2.76451	0.00171983	-2.38723	-0.254188
PLCXD1	chrY	142991	170022	148352	150833	1.66371	0.291111	0.091882	7.75141	1.77251e-08	-0.441517	-0.096999
PPP2R3B	chrY	244668	297690	245253	249338	3.02262	0.333729	0.0410671	12.6821	2.0791e-13	-0.407686	-0.744946
SHOX	chrY	535079	570146	535338	541200	-2.83268	0.000154383	0.00109982	2.49515	0.00319779	1.32725	0.0953944
SHOX	chrY	535079	570146	557559	569519	-0.900777	0.000569225	0.00106278	2.43304	0.00368947	-0.530299	-0.720486
CSF2RA	chrY	1337693	1378828	1343736	1351301	1.4194	0.00637516	0.00238346	4.0391	9.13912e-05	-4.06473	-0.463089
CSF2RA	chrY	1337693	1378828	1372913	1374338	0.725938	0.0061492	0.00371783	2.20972	0.00616999	-3.84938	-0.282319
CSF2RA	chrY	1337693	1378828	1374712	1378294	1.64262	0.00980138	0.00313913	3.04807	0.000895223	-0.969756	-0.369806
PCDH11Y	chrY	4868267	5610269	4900770	4924130	1.13847	0.00238827	0.00108485	2.14291	0.00719601	0	0.000406268
PCDH11Y	chrY	4868267	5610269	4925501	4966255	-0.639453	0.000104374	0.000162587	4.2275	5.92248e-05	2.22988	0.526074
PCDH11Y	chrY	4868267	5610269	4973640	5369097	-0.250227	0.00461653	0.00549088	5.09944	7.95354e-06	-0.147534	-0.169739
PCDH11Y	chrY	4868267	5610269	5449840	5605312	0.393634	0.000455767	0.000346934	3.05333	0.000884445	0.00117198	0.0274162
TTTY2#1	chrY	6274285	6296485	6280413	6287805	-1.61318	0.0001	0.000305926	2.45631	0.00349699	-2.42951	0.470829
TTTY2B#1	chrY	6274285	6296485	6280413	6287805	-1.61318	0.0001	0.000305926	2.45631	0.00349699	-2.42951	0.470829
TSPY4	chrY	9195452	9368285	9301955	9304563	-2.90555	0.0001	0.000749305	2.45631	0.00349699	-1.34199	-0.327893
TTTY14	chrY	21034387	21239433	21154963	21230609	0.132106	0.00069786	0.000636796	2.20696	0.00620923	-0.681765	-1.02015
RPS4Y2	chrY	22917954	22942918	22923268	22930690	4.56382	0.00982303	0.000415334	3.81053	0.000154694	-0.553725	-3.62518
PRORY	chrY	23544860	23548246	23545167	23545317	5.77664	0.0285897	0.000521515	3.63638	0.000231003	-0.75284	-0.694516
PRORY	chrY	23544860	23548246	23545683	23545798	4.71478	0.0369562	0.00140734	3.58711	0.000258758	-0.941468	-1.10653
RBMY2EP	chrY	23557034	23563448	23557868	23562808	5.17334	0.00825092	0.00022865	4.62413	2.3761e-05	-1.52478	0.710176
PRY#2	chrY	24636544	24660784	24636820	24647659	-1.37804	0.000139388	0.000362291	2.23454	0.00582726	-1.6172	0.311573
PRY2#2	chrY	24636544	24660784	24636820	24647659	-1.37804	0.000139388	0.000362291	2.23454	0.00582726	-1.6172	0.311573
IL9R	chrY	59330252	59343488	59338151	59338753	1.55653	0.0211625	0.00719459	5.30957	4.90267e-06	-0.144119	-0.0747646
PLCXD1	chrX	192991	220022	193062	198060	1.48902	0.0189911	0.00676565	2.76451	0.00171983	-2.38793	-0.2546
PLCXD1	chrX	192991	220022	198352	200833	1.6631	0.291111	0.0919214	7.72694	1.87524e-08	-0.441517	-0.0969589
PPP2R3B	chrX	294668	347690	295253	299338	3.02355	0.333741	0.041042	12.6821	2.0791e-13	-0.407674	-0.745303
SHOX	chrX	585079	620146	585338	591200	-2.83268	0.000154383	0.00109982	2.49515	0.00319779	1.32725	0.0953944
SHOX	chrX	585079	620146	607559	619519	-0.788982	0.000608846	0.001052	2.11172	0.00773171	-0.501128	-0.729357
CSF2RA	chrX	1387693	1428828	1393736	1401301	1.40797	0.00639947	0.00241159	4.0042	9.9037e-05	-4.05956	-0.458462
CSF2RA	chrX	1387693	1428828	1422913	1424338	0.743473	0.00608049	0.00363187	2.37996	0.00416904	-3.86447	-0.288375
CSF2RA	chrX	1387693	1428828	1424712	1428294	1.6129	0.00978719	0.00319983	2.83993	0.00144568	-0.970778	-0.363605
ARSE	chrX	2852673	2886351	2878462	2882264	-1.25907	0.000152171	0.000364209	2.5922	0.00255743	1.44885	0.328043
ARSH	chrX	2924654	2951426	2924746	2928070	-1.40515	0.000160326	0.000424614	2.54086	0.0028783	1.32718	-2.68999
NLGN4X	chrX	5808067	6146923	6105831	6144920	0.756901	0.00047993	0.000284006	2.7002	0.00199434	0.225299	0.139546
HDHD1	chrX	6966961	7066231	7065979	7066093	-2.14551	0.0345887	0.153037	10.2269	5.93046e-11	-0.525939	-0.0431897
STS	chrX	7137472	7272682	7137728	7171236	-1.24355	0.000577157	0.0013666	5.24258	5.7203e-06	-1.09482	-0.574934
