GeneId	Chr	Start	End	Intron_Start	Intron_End	Log2TPMRatio	TPM_1	TPM_2	minusLog10PValue	PValue	RValue_1	RValue_2
PLCXD1	chrY	142991	170022	148352	150833	1.56272	0.271429	0.091882	8.46333	3.44086e-09	-0.460062	-0.096999
PPP2R3B	chrY	244668	297690	245253	249338	3.11428	0.355619	0.0410671	14.6423	2.2787e-15	-0.394132	-0.744946
SHOX	chrY	535079	570146	535338	541200	-1.90752	0.000293156	0.00109982	2.10241	0.00789936	0.519594	0.0953944
CSF2RA	chrY	1337693	1378828	1343736	1351301	1.35724	0.00610632	0.00238346	4.29125	5.11382e-05	-3.90034	-0.463089
CSF2RA	chrY	1337693	1378828	1374712	1378294	1.48712	0.00879987	0.00313913	3.84502	0.000142884	-0.877219	-0.369806
IL3RA	chrY	1405509	1451582	1421126	1421214	0.460931	3.76351	2.73425	2.43655	0.00365976	-0.773177	-0.82177
PCDH11Y	chrY	4868267	5610269	4868647	4898939	-0.452257	0.000114543	0.000156715	2.14725	0.00712446	1.58541	0.612886
PCDH11Y	chrY	4868267	5610269	4900770	4924130	1.08535	0.00230194	0.00108485	2.81157	0.00154324	0	0.000406268
PCDH11Y	chrY	4868267	5610269	4925501	4966255	-0.562765	0.000110072	0.000162587	3.51316	0.000306786	1.87082	0.526074
PCDH11Y	chrY	4868267	5610269	4973640	5369097	-0.180403	0.00484546	0.00549088	4.03682	9.18717e-05	-0.118202	-0.169739
PCDH11Y	chrY	4868267	5610269	5449840	5605312	0.324873	0.000434554	0.000346934	2.94979	0.00112257	0.00390646	0.0274162
TTTY2#1	chrY	6274285	6296485	6276585	6279347	-1.7569	0.0001	0.000337972	2.12978	0.00741693	-2.79514	0.46189
TTTY2#1	chrY	6274285	6296485	6279606	6280263	-1.96974	0.0001	0.000391698	2.12978	0.00741693	-0.561501	0.389088
TTTY2#1	chrY	6274285	6296485	6280413	6287805	-1.61318	0.0001	0.000305926	3.88769	0.000129512	-1.63695	0.470829
TTTY2B#1	chrY	6274285	6296485	6276585	6279347	-1.7569	0.0001	0.000337972	2.12978	0.00741693	-2.79514	0.46189
TTTY2B#1	chrY	6274285	6296485	6279606	6280263	-1.96974	0.0001	0.000391698	2.12978	0.00741693	-0.561501	0.389088
TTTY2B#1	chrY	6274285	6296485	6280413	6287805	-1.61318	0.0001	0.000305926	3.88769	0.000129512	-1.63695	0.470829
TSPY4	chrY	9195452	9368285	9212884	9212969	-4.81112	0.0001	0.00280732	2.12978	0.00741693	-1.10269	0.0483861
TSPY4	chrY	9195452	9368285	9238827	9296351	-0.766186	0.000111102	0.000188958	2.17348	0.00670682	-0.52962	-1.01892
TSPY4	chrY	9195452	9368285	9301767	9301852	-4.81112	0.0001	0.00280732	2.12978	0.00741693	-0.549428	-0.091492
TTTY2#2	chrY	9573895	9596085	9590107	9590764	-1.96974	0.0001	0.000391698	2.12978	0.00741693	-1.63695	0.389088
TTTY2#2	chrY	9573895	9596085	9591023	9593785	-1.92688	0.0001	0.000380232	2.12978	0.00741693	-0.561501	0.402618
TTTY2#2	chrY	9573895	9596085	9594183	9595405	-2.3053	0.0001	0.000494269	3.01202	0.000972702	-0.469564	0.286021
TTTY2B#2	chrY	9573895	9596085	9590107	9590764	-1.96974	0.0001	0.000391698	2.12978	0.00741693	-1.63695	0.389088
TTTY2B#2	chrY	9573895	9596085	9591023	9593785	-1.92688	0.0001	0.000380232	2.12978	0.00741693	-0.561501	0.402618
TTTY2B#2	chrY	9573895	9596085	9594183	9595405	-2.3053	0.0001	0.000494269	3.01202	0.000972702	-0.469564	0.286021
TTTY1B#2	chrY	9590765	9611928	9591023	9593785	-1.92688	0.0001	0.000380232	2.12978	0.00741693	0.155108	-1.25763
TTTY1B#2	chrY	9590765	9611928	9594183	9595405	-2.3053	0.0001	0.000494269	3.01202	0.000972702	0.155108	-1.0549
TTTY1#2	chrY	9590765	9611928	9591023	9593785	-1.92688	0.0001	0.000380232	2.12978	0.00741693	0.155108	-1.25763
TTTY1#2	chrY	9590765	9611928	9594183	9595405	-2.3053	0.0001	0.000494269	3.01202	0.000972702	0.155108	-1.0549
RPS4Y2	chrY	22917954	22942918	22923268	22930690	4.12908	0.00726732	0.000415334	3.79891	0.000158889	-0.587169	-3.62518
PRORY	chrY	23544860	23548246	23545167	23545317	6.1005	0.0357849	0.000521515	4.4415	3.61825e-05	-0.736875	-0.694516
