GeneId	Chr	Start	End	Intron_Start	Intron_End	Log2TPMRatio	TPM_1	TPM_2	minusLog10PValue	PValue	RValue_1	RValue_2
IL3RA	chrY	1405509	1451582	1405820	1410620	0.895386	0.426442	0.229256	4.80606	1.56292e-05	-0.189129	-0.395636
IL3RA	chrY	1405509	1451582	1421126	1421214	0.423654	4.41161	3.28901	2.48299	0.00328857	-0.748396	-0.797105
IL3RA	chrX	1455509	1501582	1455820	1460620	0.895099	0.426469	0.229317	4.7917	1.61546e-05	-0.189118	-0.395546
IL3RA	chrX	1455509	1501582	1471126	1471214	0.423654	4.41161	3.28901	2.48299	0.00328857	-0.748396	-0.797034
GPR143	chrX	9693453	9734005	9693881	9707524	-0.595156	0.026608	0.040195	2.04412	0.00903401	-0.663243	-0.71219
GPR143	chrX	9693453	9734005	9716707	9727371	-1.20109	0.000412609	0.000948641	2.24926	0.00563302	0.210827	-2.18982
S100G	chrX	16668281	16672791	16669265	16672527	0.849296	0.0161589	0.00896907	4.39865	3.99343e-05	-0.483058	-0.409884
DMD	chrX	31137345	33357726	32536249	32563275	-0.467983	0.000151172	0.000209098	2.16456	0.00684599	0.628659	-6.39404
MAGED4#2	chrX	51927919	51935366	51930327	51930737	1.06594	0.740883	0.353892	3.90545	0.000124322	-0.72687	-0.759903
MAGED4B#2	chrX	51927919	51935364	51930327	51930737	1.06594	0.740883	0.353892	3.90545	0.000124322	-0.72687	-0.759903
PHF8	chrX	53963113	54071569	54012218	54012248	-0.17801	3.47692	3.93352	2.2728	0.00533575	-0.945107	-0.930895
HEPH	chrX	65382391	65487230	65393644	65408200	-0.35474	0.00860683	0.011006	3.38288	0.000414114	-0.0628115	-0.121797
BCYRN1	chrX	70430035	70948962	70464744	70465188	-0.465801	0.0230747	0.0318682	2.21591	0.00608255	-0.311636	-0.263229
BCYRN1	chrX	70430035	70948962	70595137	70596799	0.541383	0.0278428	0.0191311	3.34701	0.000449772	0	0
BCYRN1	chrX	70430035	70948962	70685856	70711530	0.386412	0.0258729	0.0197935	3.7146	0.00019293	0	0
BCYRN1	chrX	70430035	70948962	70712848	70748391	0.459591	0.0102886	0.0074818	3.21716	0.000606519	0	0
BCYRN1	chrX	70430035	70948962	70748576	70749562	0.988854	0.00754663	0.00380258	2.06752	0.00856011	0.00373499	0.0163523
BCYRN1	chrX	70430035	70948962	70750376	70752911	0.388289	0.0211729	0.0161769	2.30225	0.00498594	0	0.000159264
LOC101928128	chrX	84465712	84474295	84467885	84474055	1.31062	0.000607197	0.00024479	2.14713	0.00712638	-1.4639	-0.60392
XRCC6P5	chrX	98716600	99194841	98911639	98974476	0.281565	0.000121551	0.0001	2.10553	0.0078427	1.4963	3.25253
RHOXF2#2	chrX	119292467	119297933	119293333	119294263	-0.702955	0.0570246	0.0928266	2.13814	0.00727538	-0.98722	-0.924906
RHOXF2B#2	chrX	119292467	119297945	119293333	119294263	-0.702955	0.0570246	0.0928266	2.13814	0.00727538	-0.98722	-0.924906
LAMP2	chrX	119560003	119603204	119565318	119570348	-0.221104	0.267684	0.31202	2.0072	0.00983569	-0.963537	-0.968487
XPNPEP2	chrX	128872946	128903525	128889348	128890459	1.50072	0.00514814	0.00181923	2.33685	0.00460416	-0.500597	-1.49647
RAP2C	chrX	131337052	131353508	131352370	131353397	-0.314395	0.189639	0.235814	2.70266	0.0019831	-0.660969	-0.695212
PLXNB3	chrX	153029651	153044801	153036339	153036419	1.95208	0.0307541	0.00794821	2.06823	0.00854607	-0.886425	-1.2592
PLXNB3	chrX	153029651	153044801	153039169	153039313	2.18334	0.0176777	0.00389202	2.81979	0.00151428	-0.590094	-1.38239
PLXNA3	chrX	153686621	153701989	153686769	153688496	-0.464702	0.242617	0.334819	3.58988	0.000257112	-0.270169	-0.264531
LINC00308	chr21	23470936	23488847	23481873	23484089	1.7855	0.000411878	0.000119476	2.84636	0.00142444	0.303107	2.49039
LOC339622	chr21	26212864	26430056	26217244	26402096	1.23595	0.00193211	0.000820298	2.98788	0.00102829	-0.771781	0.0066905
LOC339622	chr21	26212864	26430056	26402173	26427746	0.98401	0.00205828	0.00104061	2.49438	0.00320345	-1.09447	0.0149312
APP	chr21	27252861	27543446	27512709	27542881	0.868636	0.0122817	0.00672623	3.58988	0.000257112	-0.834866	-1.01901
BACE2	chr21	42539728	42654461	42557167	42598192	-0.498766	0.181842	0.256944	2.9096	0.0012314	-0.453628	-0.385824
ABCG1	chr21	43619799	43717354	43627097	43636186	0.826432	0.00816179	0.00460261	2.41201	0.00387247	-0.195281	0.00224068
CRYAA	chr21	44589118	44592920	44589399	44590626	2.16081	0.0111364	0.00249043	3.72911	0.000186589	-1.22242	-0.774073
XKR3	chr22	17264306	17302584	17265300	17280660	-0.688709	0.000220914	0.000356079	2.31958	0.00479093	0.3482	-1.54466
CECR2	chr22	17840839	18037856	17840914	17956627	0.657038	0.00164602	0.00104387	4.37122	4.25386e-05	0	0
SCARF2	chr22	20778874	20792146	20780570	20781684	-0.558761	0.0647408	0.0953634	2.27282	0.0053356	-0.764964	-0.455525
BCRP2	chr22	21457305	21476575	21457516	21470217	3.26187	0.0928161	0.00967614	9.18874	6.4753e-10	-0.0143703	0.000798962
BCRP2	chr22	21457305	21476575	21472599	21473075	3.78703	0.134749	0.00976146	8.7699	1.69864e-09	-0.0402287	-0.272375
FAM230B	chr22	21521192	21546445	21521404	21524234	3.16897	0.00226081	0.000251367	2.88454	0.00130455	-1.49088	-0.860936
FAM230B	chr22	21521192	21546445	21524787	21527732	1.46077	0.000652856	0.000237181	2.21157	0.00614371	0.165438	0.716677
POM121L8P	chr22	21636714	21652015	21638565	21641870	3.39743	0.0230367	0.00218621	8.19061	6.44746e-09	-0.759282	-0.940288
YDJC	chr22	21982378	21984340	21983697	21983890	-0.373126	1.57607	2.04126	3.1014	0.000791776	-0.736293	-0.749518
POM121L1P	chr22	22974028	22987012	22976188	22976695	3.35046	0.217878	0.0213612	9.17987	6.60887e-10	-0.344388	-0.620333
PIWIL3	chr22	25115001	25170687	25119223	25120853	1.42716	0.00176273	0.00065549	2.39831	0.00399659	0.0363868	0.166454
TMEM211	chr22	25331208	25335314	25331563	25334115	0.973872	0.192069	0.0977895	2.39332	0.00404282	-0.843473	-0.953217
MYO18B	chr22	26138120	26427007	26173749	26176022	-0.668696	0.00186406	0.00296317	2.13201	0.0073788	-0.806011	0.00959546
TPST2	chr22	26921714	26986089	26961371	26986016	0.885756	0.0367243	0.0198753	7.51734	3.03852e-08	-1.06363	-0.904986
SEC14L3	chr22	30855216	30868034	30864684	30864775	4.79251	0.00277134	0.0001	2.10553	0.0078427	-0.558521	-4.5238
SEC14L3	chr22	30855216	30868034	30866570	30867146	1.49896	0.00176077	0.000622974	2.33265	0.00464893	-0.661857	-3.29955
SMTN	chr22	31477282	31500610	31481278	31483950	0.633397	0.0566659	0.0365301	2.09075	0.00811425	-0.363774	-0.382645
APOL4	chr22	36585176	36600879	36597935	36598038	2.19213	0.0441999	0.00967216	2.30228	0.0049856	-1.27887	-0.92029
ENTHD1	chr22	40139049	40289794	40231964	40257769	-1.71988	0.00113811	0.00374903	2.34187	0.00455126	0.00619683	-1.20411
LOC101927257	chr22	40917804	40922711	40919445	40919528	1.04021	0.0796668	0.0387386	2.23019	0.0058859	-0.827191	-1.11853
SERHL	chr22	42896585	42908566	42898039	42898356	-0.287218	2.12788	2.59662	2.23384	0.00583663	-0.808726	-0.827111
SERHL2	chr22	42949868	42970388	42951352	42951669	-0.279974	2.02337	2.45672	2.13792	0.00727922	-0.78173	-0.799731
SERHL2	chr22	42949868	42970388	42967908	42968441	-0.293375	0.813024	0.996364	2.48299	0.00328857	-0.857605	-0.844466
EFCAB6	chr22	43924624	44208217	44031097	44062983	0.424045	0.0450292	0.0335617	2.21448	0.00610263	-0.0695579	-0.138234
CPT1B	chr22	51007290	51017096	51016895	51016977	-0.53917	0.845197	1.22819	2.59687	0.00253006	-0.348012	-0.364873
LINC00540	chr13	22784424	22850659	22784568	22848661	1.49069	0.00286364	0.00101901	2.22473	0.00596033	-0.782974	-1.01685
POLR1D	chr13	28194880	28241559	28195278	28195915	-0.224603	1.18284	1.3821	2.30225	0.00498594	-0.608353	-0.636958
KL	chr13	33590571	33640282	33591398	33627903	1.8984	0.00315126	0.000845296	2.39657	0.00401264	-0.806951	-0.820113
STARD13	chr13	33677272	34250972	34238275	34250814	0.524582	0.000219181	0.000152366	2.73829	0.00182686	-2.16583	-0.60421
STOML3	chr13	39540062	39564996	39544526	39546648	1.1633	0.000223969	0.0001	2.46932	0.00339376	0.692339	-3.57049
DGKH	chr13	42614172	42830716	42614263	42622843	2.09034	0.00627746	0.00147411	4.17877	6.62574e-05	-0.617726	-1.24732
DGKH	chr13	42614172	42830716	42714980	42727885	1.28751	0.00209321	0.0008575	4.17467	6.68844e-05	-1.34989	-0.653939
DGKH	chr13	42614172	42830716	42770096	42772613	2.43442	0.00864114	0.00159859	3.92772	0.00011811	-1.27737	-0.0861176
DGKH	chr13	42614172	42830716	42799474	42803234	2.55007	0.00966999	0.00165111	3.78648	0.0001635	-2.03021	-0.711183
SPERT	chr13	46276439	46288694	46277727	46287316	0.462982	0.000167058	0.000121198	2.06479	0.00861405	0.869318	2.19028
LRCH1	chr13	47127296	47327175	47319037	47324674	0.614125	0.347522	0.227045	3.68948	0.000204418	-0.680215	-0.668583
POU4F1	chr13	79173230	79177695	79176687	79177338	1.80328	0.00559172	0.00160216	2.11573	0.00766066	-0.771101	-1.15344
MIR4500HG	chr13	88096242	88323218	88125809	88163620	0.305318	0.000132753	0.000107432	2.42561	0.00375314	0.999033	2.17877
