GeneId	Chr	Start	End	Intron_Start	Intron_End	Log2TPMRatio	TPM_1	TPM_2	minusLog10PValue	PValue	RValue_1	RValue_2
PLCXD1	chrY	142991	170022	148352	150833	1.41226	0.244547	0.091882	6.92335	1.19303e-07	-0.489715	-0.096999
PPP2R3B	chrY	244668	297690	245253	249338	3.23074	0.385517	0.0410671	18.532	2.93754e-19	-0.377941	-0.744946
CSF2RA	chrY	1337693	1378828	1343736	1351301	1.26777	0.00573912	0.00238346	3.17906	0.000662122	-3.60855	-0.463089
CSF2RA	chrY	1337693	1378828	1374712	1378294	1.24338	0.00743195	0.00313913	3.47298	0.000336524	-0.693901	-0.369806
IL3RA	chrY	1405509	1451582	1405820	1410620	1.06116	0.426442	0.204371	4.38181	4.15132e-05	-0.189129	-0.339617
IL3RA	chrY	1405509	1451582	1421126	1421214	0.690158	4.41161	2.73425	3.28828	0.000514898	-0.748396	-0.82177
PCDH11Y	chrY	4868267	5610269	4900770	4924130	1.00948	0.00218402	0.00108485	2.7648	0.00171871	0	0.000406268
RPS4Y2	chrY	22917954	22942918	22923268	22930690	3.18475	0.00377661	0.000415334	2.65733	0.00220127	-0.700081	-3.62518
PRORY	chrY	23544860	23548246	23545167	23545317	6.45058	0.0456125	0.000521515	4.70573	1.96909e-05	-0.723065	-0.694516
PRORY	chrY	23544860	23548246	23545683	23545798	5.53815	0.0653953	0.00140734	4.33385	4.63606e-05	-0.794971	-1.10653
RBMY2EP	chrY	23557034	23563448	23557868	23562808	5.28533	0.0089169	0.00022865	5.2993	5.02e-06	-1.64375	0.710176
RBMY1F#2	chrY	24455010	24564028	24466532	24549622	0.522931	0.000502979	0.000350051	2.49161	0.00322396	0	0.0025937
DAZ3#3	chrY	26979967	27053187	26988732	26997725	-1.68008	0.000176528	0.000565675	2.23385	0.00583652	1.11669	0.191657
DAZ4#4	chrY	26979967	27053187	26988732	26997725	-1.68008	0.000176528	0.000565675	2.23385	0.00583652	1.11669	0.191657
DAZ2#2	chrY	26979990	27053187	26988732	26997725	-1.68008	0.000176528	0.000565675	2.23385	0.00583652	1.11669	0.191657
IL9R	chrY	59330252	59343488	59338151	59338753	1.6926	0.0232558	0.00719459	4.46116	3.45811e-05	-0.0516846	-0.0747646
DDX11L16	chrY	59358329	59360854	59360116	59360500	1.42956	0.0277716	0.0103101	3.49568	0.000319386	-1.57375	-0.516028
PLCXD1	chrX	192991	220022	198352	200833	1.41164	0.244547	0.0919214	6.92335	1.19303e-07	-0.489715	-0.0969589
PPP2R3B	chrX	294668	347690	295253	299338	3.23175	0.385552	0.041042	18.532	2.93754e-19	-0.377911	-0.745303
CSF2RA	chrX	1387693	1428828	1393736	1401301	1.23495	0.00567625	0.00241159	3.00908	0.000979314	-3.62314	-0.458462
CSF2RA	chrX	1387693	1428828	1424712	1428294	1.22101	0.00745913	0.00319983	3.26757	0.000540045	-0.691892	-0.363605
IL3RA	chrX	1455509	1501582	1455820	1460620	1.06113	0.426469	0.204388	4.38181	4.15132e-05	-0.189118	-0.339592
IL3RA	chrX	1455509	1501582	1471126	1471214	0.690158	4.41161	2.73425	3.28828	0.000514898	-0.748396	-0.82177
ARSE	chrX	2852673	2886351	2878462	2882264	-1.4738	0.000131127	0.000364209	2.38296	0.00414034	-3.88012	0.328043
NLGN4X	chrX	5808067	6146923	5811708	5821117	-1.55044	0.000128991	0.000377824	3.09664	0.000800506	-0.940965	-3.42744
NLGN4X	chrX	5808067	6146923	5947474	6069035	-0.943502	0.000102195	0.00019654	2.45314	0.00352261	1.64773	-4.38796
HDHD1	chrX	6966961	7066231	7065979	7066093	-2.3527	0.0299615	0.153037	9.38783	4.0942e-10	-0.662947	-0.0431897
STS	chrX	7137472	7272682	7137728	7171236	-1.62126	0.000444214	0.0013666	6.41858	3.81436e-07	-2.19658	-0.574934
ANOS1	chrX	8496915	8700227	8504984	8507704	3.22862	0.00289688	0.000309043	3.57861	0.000263871	0.0232654	0.465226
ANOS1	chrX	8496915	8700227	8507800	8521992	3.18817	0.0122265	0.00134143	4.72575	1.88041e-05	-0.403449	-0.751129
GPR143	chrX	9693453	9734005	9693881	9707524	-1.10598	0.026608	0.0572724	6.62719	2.35947e-07	-0.663243	-0.712874
GPR143	chrX	9693453	9734005	9707760	9709377	-1.27364	0.0198716	0.0480437	4.93797	1.15353e-05	-1.24088	-0.898759
GPR143	chrX	9693453	9734005	9716707	9727371	-1.3049	0.000412609	0.00101942	2.90634	0.00124067	0.210827	0.0264486
MID1	chrX	10413350	10851809	10588675	10645504	0.665594	0.000432902	0.000272914	2.82048	0.00151189	-0.849592	-3.52742
MID1	chrX	10413350	10851809	10645780	10851672	0.666802	0.000830751	0.000523291	3.13602	0.000731105	-0.74023	0.000739771
ARHGAP6	chrX	11155663	11683821	11318882	11445667	1.32601	0.00102935	0.000410577	2.16078	0.00690585	0.00172628	0.00822903
MSL3	chrX	11776278	11793872	11776893	11777734	-0.821984	0.0743358	0.131413	3.84582	0.000142621	-0.786164	-0.977878
FRMPD4	chrX	12156585	12742642	12633001	12692981	-0.897283	0.000261104	0.000486322	2.81816	0.00151998	0.135045	0.0152768
EGFL6	chrX	13587694	13651694	13588055	13607674	0.980429	0.000380832	0.000193017	2.5928	0.00255385	0.0777222	0.391037
EGFL6	chrX	13587694	13651694	13626566	13635848	2.18712	0.00821725	0.00180443	16.389	4.08318e-17	0	-0.459929
TCEANC	chrX	13671225	13683527	13671432	13673407	0.694355	0.0300167	0.0185499	4.04448	9.02647e-05	-1.32447	-0.923443
GPM6B	chrX	13789062	13956831	13791150	13792092	1.77586	0.427119	0.124728	10.3148	4.84417e-11	-0.920859	-0.834299
GPM6B	chrX	13789062	13956831	13792744	13794356	1.84527	0.690109	0.192059	11.0199	9.55208e-12	-0.813161	-0.739997
GLRA2	chrX	14547420	14749933	14550495	14592454	1.83077	0.0010648	0.00029933	6.358	4.38527e-07	0	0.0222581
GLRA2	chrX	14547420	14749933	14592682	14599304	1.47435	0.000384988	0.000138555	2.16336	0.00686492	-3.28538	1.59193
GLRA2	chrX	14547420	14749933	14599529	14622436	1.69488	0.000526172	0.000162525	4.80929	1.55135e-05	-1.42002	0.723833
GLRA2	chrX	14547420	14749933	14622520	14625252	2.07699	0.00209582	0.000496729	3.99325	0.000101566	-1.59553	0.220392
GLRA2	chrX	14547420	14749933	14627328	14708831	1.98923	0.00472153	0.00118923	13.0388	9.14436e-14	-0.387514	0
ASB9	chrX	15262109	15288589	15277068	15287902	-1.73527	0.000207526	0.000690942	3.07236	0.000846526	-3.71463	0.0632328
ASB11	chrX	15299831	15333746	15307761	15311291	-2.65483	0.000214781	0.00135263	5.07912	8.33447e-06	0.758307	-1.85534
ASB11	chrX	15299831	15333746	15315804	15320849	-2.06329	0.000147508	0.00061649	4.81419	1.53395e-05	1.49354	-2.79567
BMX	chrX	15518900	15574652	15568121	15574195	-0.122591	0.081315	0.0885267	2.92624	0.0011851	-0.0362537	-0.00600271
GS1-594A7.3	chrX	15621004	15639607	15621105	15639134	-0.911957	0.000225688	0.000424653	3.64132	0.000228394	0.352923	0.0253995
S100G	chrX	16668281	16672791	16668327	16669121	5.71003	0.0094337	0.000180216	6.61267	2.43969e-07	-2.21028	1.10265
S100G	chrX	16668281	16672791	16669265	16672527	3.76467	0.0161589	0.00118886	11.1084	7.79066e-12	-0.483058	0.0596443
NHS	chrX	17393543	17754113	17394446	17444003	-0.373096	0.00013954	0.000180722	2.02993	0.00933403	0.979459	0.45498
